,run,sample,assembler,reference,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events,distribution,type,algorythm
19,run1,EMS,MINIA,Enterococcus_faecalis,0.045908612943313255,0.9736053942655353,1.0007349413725428,1.0,1.0007349413725428,0.9999901835672917,0.9983606557377049,103.0,167.0,30453.0,30453.0,2770289.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
20,run1,EMS,SKESA,Enterococcus_faecalis,0.13570924498276513,0.9876614540281269,1.0,0.977173992412889,1.0233592049771483,0.9841615356405258,0.3664614256210311,19.0,40.0,152709.0,152709.0,2810284.0,0.0,1.0,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
21,run1,EMS,SPAdes,Enterococcus_faecalis,0.18946001113379105,0.9775763761197052,1.0001768773808342,0.9999982027867589,1.0001786749151924,0.999933351073219,0.9987269255251432,14.0,26.0,235662.0,215153.0,2781588.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
22,run1,EMS,Unicycler,Enterococcus_faecalis,0.23476800384621874,0.9781875397133329,0.9998408379611882,1.0,0.9998408379611882,0.9999993456978109,0.9999895211306401,8.0,20.0,377104.0,377104.0,2783327.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
23,run1,EMS,VelvetOptimiser,Enterococcus_faecalis,0.02819822365424518,0.9607337055843272,1.0006767473983635,1.0,1.0006767473983635,0.9999998135154318,0.9999696030153808,106.0,163.0,30356.0,29167.0,2733664.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
24,run1,EMS,ABySS,Escherichia_coli_plasmid,0.06612306489587026,0.5497468342923633,1.0136913817051392,0.9999347556599465,1.0137575236457437,0.9879048610562917,0.9461371055495104,0.0,26.0,2402.0,1304.0,60476.0,204.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
26,run1,EMS,GATBMiniaPipeline,Escherichia_coli_plasmid,0.19163325970165535,0.9572390847855137,1.0006077699590705,1.0,1.0006077699590705,1.0,1.0,7.0,10.0,18762.0,18762.0,105303.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
27,run1,EMS,IDBA-UD,Escherichia_coli_plasmid,0.32962447844228093,0.9635114129100876,1.0001698225354505,1.0,1.0001698225354505,1.0,1.0,3.0,5.0,26780.0,26780.0,105993.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
28,run1,EMS,MEGAHIT,Escherichia_coli_plasmid,0.3661312461934241,0.9791922332215223,1.0,1.0,1.0,1.0,1.0,3.0,4.0,28353.0,28353.0,107718.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
29,run1,EMS,MetaHipMer2,Escherichia_coli_plasmid,0.3657312716463498,0.9771650894943049,1.0009023675519793,1.0,1.0009023675519793,1.0,1.0,3.0,5.0,28267.0,28267.0,107495.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
30,run1,EMS,metaSPAdes,Escherichia_coli_plasmid,0.36780386702664375,0.9648658721717709,1.0,1.0,1.0,1.0,1.0,3.0,4.0,26814.0,26814.0,106142.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
31,run1,EMS,MINIA,Escherichia_coli_plasmid,0.13774577981401184,0.9409401219922369,1.0029369143077964,1.0,1.0029369143077964,1.0,1.0,17.0,21.0,7186.0,6638.0,103510.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
32,run1,EMS,SKESA,Escherichia_coli_plasmid,0.04218822438572091,0.3629496304780605,1.0,1.0,1.0,1.0,1.0,0.0,26.0,1404.0,0.0,39927.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
33,run1,EMS,SPAdes,Escherichia_coli_plasmid,0.3680038543001809,0.9783013808212204,1.0,1.0,1.0,1.0,1.0,3.0,5.0,26837.0,26837.0,107620.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
34,run1,EMS,Unicycler,Escherichia_coli_plasmid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
35,run1,EMS,VelvetOptimiser,Escherichia_coli_plasmid,0.36757660876126064,0.9754015653549319,0.9989096094165012,1.0,0.9989096094165012,0.9985724121303063,0.9966627938595407,3.0,4.0,27962.0,27962.0,107301.0,194.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
36,run1,EMS,ABySS,Escherichia_coli,0.06006357448240811,0.9877138157825709,1.0169490013034097,0.9996309854442866,1.0173244088181461,0.9985468518142798,0.8852172788411795,50.0,100.0,100101.0,100101.0,4706885.0,45.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
38,run1,EMS,GATBMiniaPipeline,Escherichia_coli,0.027645121094951687,0.9706834676547823,1.0015975863691078,0.9999956832712515,1.0016019100128672,0.9998320645830351,0.9901215805471124,100.0,184.0,59575.0,59530.0,4625728.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
39,run1,EMS,IDBA-UD,Escherichia_coli,0.0189634354394584,0.9485299764932218,1.004381042516886,0.9931895908438488,1.0112681926756084,0.99415538150649,0.46293053123175715,283.0,439.0,19013.0,18446.0,4520157.0,0.0,6.0,10.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
40,run1,EMS,MEGAHIT,Escherichia_coli,0.059565403696704225,0.9783652443827782,1.0006588973121837,0.9998763390530272,1.0007826550430203,0.9979794559669986,0.8633633633633634,55.0,141.0,74104.0,74550.0,4662335.0,0.0,3.0,5.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
41,run1,EMS,MetaHipMer2,Escherichia_coli,0.027644281717048226,0.9677668392847325,1.001083734891298,1.0,1.001083734891298,1.0,1.0,110.0,193.0,56794.0,56352.0,4611829.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
42,run1,EMS,metaSPAdes,Escherichia_coli,0.11712868124917898,0.9792994719893299,0.9998997168715864,1.0,0.9998997168715864,0.9995152440254389,0.9874723655121592,39.0,86.0,107748.0,107748.0,4666787.0,0.0,1.0,3.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
43,run1,EMS,MINIA,Escherichia_coli,0.011346290810029054,0.7912746247246316,1.002291045827016,0.9999994708165935,1.0022915762230866,0.9999874579804241,0.9934354485776805,0.0,1121.0,4469.0,3200.0,3770767.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
44,run1,EMS,SKESA,Escherichia_coli,0.027602732510826927,0.9600514874405983,1.0056663712972633,0.9937570871014214,1.0119840998876082,0.9950550872540534,0.6552621792487914,70.0,180.0,62623.0,66235.0,4575062.0,0.0,2.0,4.0,Even,Genomic,Multiple k-mer De Bruijn graph
45,run1,EMS,SPAdes,Escherichia_coli,0.09487572380605838,0.9744862692464107,1.0000947489690666,0.9999636125542286,1.0001311411867309,0.9997884850066031,0.9909936955869109,45.0,84.0,98812.0,96999.0,4643850.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
46,run1,EMS,Unicycler,Escherichia_coli,0.11707097401831607,0.9713700787798132,1.00000194426442,1.0,1.00000194426442,0.9997709761889391,0.9927631578947368,35.0,72.0,124073.0,119183.0,4629000.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
47,run1,EMS,VelvetOptimiser,Escherichia_coli,0.011654342500599105,0.797603114427773,1.0021789432835428,1.0,1.0021789432835428,0.9999991613749425,0.9990791896869244,0.0,1098.0,4593.0,3335.0,3800925.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
48,run1,EMS,ABySS,Lactobacillus_fermentum,0.0652095985321201,0.973619309590502,1.0149891998626466,1.0,1.0149891998626466,0.9999364367903942,0.9975174904084857,43.0,72.0,42368.0,42368.0,1855069.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
50,run1,EMS,GATBMiniaPipeline,Lactobacillus_fermentum,0.0640082337313215,0.9439378838239825,1.0014189476212612,1.0,1.0014189476212612,1.0,1.0,53.0,89.0,40446.0,40151.0,1798516.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
51,run1,EMS,IDBA-UD,Lactobacillus_fermentum,0.06396519663491894,0.9394777710772868,1.000446364226505,1.0,1.000446364226505,0.9999663133309379,0.9970355731225297,56.0,88.0,40069.0,37467.0,1790018.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
52,run1,EMS,MEGAHIT,Lactobacillus_fermentum,0.06400928341659962,0.9485585984182292,0.9989144147134984,0.9997474822988414,0.9991667219972113,0.9992919861089405,0.9753129959442779,35.0,81.0,46932.0,52972.0,1807320.0,0.0,3.0,6.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
53,run1,EMS,MetaHipMer2,Lactobacillus_fermentum,0.06396414694964082,0.9380549226828067,1.0007094472298268,1.0,1.0007094472298268,1.0,1.0,54.0,86.0,40362.0,40067.0,1787307.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
54,run1,EMS,metaSPAdes,Lactobacillus_fermentum,0.06391901048268203,0.9428425372362731,1.0004514511845444,1.0,1.0004514511845444,0.9998491205811961,0.9909245604083948,48.0,78.0,46069.0,45077.0,1796429.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
55,run1,EMS,MINIA,Lactobacillus_fermentum,0.03464433776143068,0.9205246536957057,1.0003837149767434,1.0,1.0003837149767434,1.0,1.0,207.0,238.0,11293.0,10836.0,1753906.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
56,run1,EMS,SKESA,Lactobacillus_fermentum,0.06386022810710779,0.9322181476938677,1.0,1.0,1.0,1.0,1.0,56.0,86.0,40164.0,39869.0,1776186.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
57,run1,EMS,SPAdes,Lactobacillus_fermentum,0.06398094191409061,0.9409525788930334,1.0014881516799157,1.0,1.0014881516799157,0.999990454652405,0.9990482233502538,76.0,109.0,32241.0,29397.0,1792828.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
58,run1,EMS,Unicycler,Lactobacillus_fermentum,0.06386285232030306,0.9318197921308243,0.9998563725796668,1.0,0.9998563725796668,0.9999459177440699,0.995835666293393,49.0,77.0,45959.0,40306.0,1775427.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
59,run1,EMS,VelvetOptimiser,Lactobacillus_fermentum,0.026160781343733615,0.9180080332414334,1.000687206243629,0.9999994286739408,1.0006877779626335,0.9999807620493267,0.9985196150999259,207.0,235.0,11578.0,10959.0,1749111.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
60,run1,EMS,ABySS,Listeria_monocytogenes,0.24399450330209582,0.9882159191696671,1.012284415707387,1.0,1.012284415707387,0.9999955986037082,0.9999531550100716,9.0,15.0,351141.0,351141.0,2957080.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
62,run1,EMS,GATBMiniaPipeline,Listeria_monocytogenes,0.2113638748512035,0.987434257180496,1.0001688811303597,1.0,1.0001688811303597,1.0,1.0,10.0,20.0,351186.0,351186.0,2954741.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
63,run1,EMS,IDBA-UD,Listeria_monocytogenes,0.15650717732130887,0.9747298270050683,0.9999149731291088,1.0,0.9999149731291088,0.9998330000083575,0.9958391123439667,13.0,25.0,254629.0,254629.0,2916725.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
64,run1,EMS,MEGAHIT,Listeria_monocytogenes,0.2113033871128367,0.9775811053683034,0.9996885743714142,0.9999336647814699,0.9997548933307399,0.9926084573838411,0.8721568627450981,8.0,19.0,447852.0,447852.0,2925257.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
65,run1,EMS,MetaHipMer2,Listeria_monocytogenes,0.15652455501409931,0.9856827862590573,1.0001403627733514,1.0,1.0001403627733514,1.0,1.0,13.0,22.0,254627.0,254627.0,2949500.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
66,run1,EMS,metaSPAdes,Listeria_monocytogenes,0.3066915479580877,0.9895947722553103,1.0000817234599686,0.9999989869830701,1.0000827365607121,0.998881065981605,0.988909426987061,6.0,13.0,475510.0,475510.0,2961206.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
67,run1,EMS,MINIA,Listeria_monocytogenes,0.054075369727123436,0.9633588005649086,1.0005949285721472,1.0,1.0005949285721472,0.9999543388262034,0.9942010309278351,75.0,127.0,46368.0,44353.0,2882699.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
68,run1,EMS,SKESA,Listeria_monocytogenes,0.21121014910728786,0.9730909769003677,1.0,1.0,1.0,1.0,1.0,11.0,19.0,351014.0,351014.0,2911821.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
69,run1,EMS,SPAdes,Listeria_monocytogenes,0.181479590234004,0.9884398240575443,1.0001369284084185,1.0,1.0001369284084185,0.9999086748576277,0.9982316534040672,10.0,20.0,255092.0,255092.0,2957750.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
70,run1,EMS,Unicycler,Listeria_monocytogenes,0.21122852935927777,0.9870466009567088,1.0000362272102916,0.9999857806908553,1.000050447236761,0.9982525230084409,0.9725,9.0,16.0,350996.0,350996.0,2953581.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
71,run1,EMS,VelvetOptimiser,Listeria_monocytogenes,0.05407570391352325,0.9746299052715232,1.0005787906156371,1.0,1.0005787906156371,0.999992218972109,0.9990530303030303,74.0,125.0,44320.0,44320.0,2916426.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
72,run1,EMS,ABySS,Pseudomonas_aeruginosa,0.043899074397150906,0.998303674880343,1.023932398616802,0.999304108680521,1.0246454404843788,0.9980904570869329,0.9773865288321757,67.0,145.0,92433.0,93704.0,6780808.0,294.0,2.0,3.0,Even,Genomic,Single k-mer De Bruijn graph
74,run1,EMS,GATBMiniaPipeline,Pseudomonas_aeruginosa,0.0680336497196102,0.9888391759528763,1.0006117749632921,0.9999986608418245,1.0006131149425253,0.9999906216693762,0.99953509995351,39.0,98.0,204303.0,204303.0,6716522.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
75,run1,EMS,IDBA-UD,Pseudomonas_aeruginosa,0.05008914466758829,0.9861648359252274,1.0006619533715506,0.9998481460316068,1.0008139309385868,0.9991091542878199,0.9519548725928808,76.0,164.0,84458.0,83502.0,6698357.0,0.0,1.0,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
76,run1,EMS,MEGAHIT,Pseudomonas_aeruginosa,0.06899944496218528,0.9910421019002316,1.0005818924056133,1.0,1.0005818924056133,0.9999010209124328,0.9954716981132076,30.0,82.0,250917.0,250917.0,6731485.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
77,run1,EMS,MetaHipMer2,Pseudomonas_aeruginosa,0.06852523360908554,0.9885283842216147,1.000533926207377,1.0,1.000533926207377,1.0,1.0,37.0,100.0,211554.0,211015.0,6714411.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
78,run1,EMS,metaSPAdes,Pseudomonas_aeruginosa,0.12479429003007804,0.9903647202064682,1.0001852269193285,1.0,1.0001852269193285,0.9994956772831299,0.9788439743105403,24.0,57.0,256394.0,256394.0,6726884.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
79,run1,EMS,MINIA,Pseudomonas_aeruginosa,0.015603629387853653,0.959701162929363,1.0010385654481089,1.0,1.0010385654481089,0.9999696125020067,0.9897074756229686,335.0,523.0,22207.0,21734.0,6518607.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
80,run1,EMS,SKESA,Pseudomonas_aeruginosa,0.018880708092804677,0.9825201366835828,0.9993445817333101,0.9969967038488384,1.0023549504982392,0.9970374477824968,0.25073449822174115,174.0,303.0,38251.0,38251.0,6673601.0,0.0,6.0,12.0,Even,Genomic,Multiple k-mer De Bruijn graph
81,run1,EMS,SPAdes,Pseudomonas_aeruginosa,0.12516647453819235,0.9906597588750841,1.0002495211690252,0.9999994056967826,1.0002501156208872,0.9995688586290978,0.9746764209341587,26.0,63.0,252244.0,252244.0,6728888.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
82,run1,EMS,Unicycler,Pseudomonas_aeruginosa,0.12477809529277877,0.9898850615326404,0.9997544479719722,0.9998689545038597,0.9998854784605806,0.9974901554909701,0.8643403952287698,22.0,60.0,283759.0,283759.0,6723626.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
83,run1,EMS,VelvetOptimiser,Pseudomonas_aeruginosa,0.08452121731423533,0.987725272476455,0.9997609166016292,0.9993725753598678,1.0003885850495964,0.9947269459756937,0.8820694087403599,14.0,69.0,338923.0,464977.0,6708956.0,6228.0,6.0,11.0,Even,Genomic,Multiple k-mer De Bruijn graph
84,run1,EMS,ABySS,Salmonella_enterica,0.0771028538077452,0.9881607127775306,1.0078834560744858,0.9993058257932621,1.008583588787161,0.9969428146588736,0.9037135278514589,33.0,68.0,157988.0,157988.0,4703394.0,1.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
86,run1,EMS,GATBMiniaPipeline,Salmonella_enterica,0.07709108847404883,0.9774819916861109,1.0027627764979583,1.0,1.0027627764979583,0.999518621556184,0.9376324040335565,82.0,158.0,64572.0,60374.0,4652566.0,0.0,1.0,1.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
87,run1,EMS,IDBA-UD,Salmonella_enterica,0.019672688416566768,0.9624185828403449,1.0062990245516787,0.9912432054903981,1.01518882447606,0.9932718572358693,0.6016016016016016,200.0,386.0,25944.0,26117.0,4580868.0,0.0,9.0,14.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
88,run1,EMS,MEGAHIT,Salmonella_enterica,0.08749878669996256,0.9814851464763036,1.0009476370081472,0.999998289156137,1.0009493494761987,0.9995155461576642,0.9725730688935282,42.0,102.0,120785.0,120785.0,4671620.0,0.0,1.0,2.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
89,run1,EMS,MetaHipMer2,Salmonella_enterica,0.05948510697839759,0.9751976260918125,1.0011547510789705,1.0,1.0011547510789705,1.0,1.0,86.0,162.0,64529.0,60329.0,4641693.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
90,run1,EMS,metaSPAdes,Salmonella_enterica,0.07435480800866265,0.9833602465341638,1.0001666472600947,1.0,1.0001666472600947,0.9994596776795499,0.9921052631578947,28.0,55.0,164359.0,157908.0,4680545.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
91,run1,EMS,MINIA,Salmonella_enterica,0.011955679987965744,0.8039712623320656,1.002373586216214,1.0,1.002373586216214,0.9999649038063908,0.9885321100917431,0.0,1084.0,4996.0,3551.0,3826699.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
92,run1,EMS,SKESA,Salmonella_enterica,0.05944350811997111,0.9615466875753454,1.0019398180093246,0.9910283073080838,1.0110102916544126,0.9964234262777867,0.6337991468663746,83.0,157.0,60912.0,60131.0,4576718.0,0.0,2.0,3.0,Even,Genomic,Multiple k-mer De Bruijn graph
93,run1,EMS,SPAdes,Salmonella_enterica,0.08224745606173102,0.9803149159640031,1.0002353168097213,0.9999997857364313,1.0002355311237556,0.9996253327290537,0.9928894245254595,27.0,60.0,164404.0,157954.0,4666050.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
94,run1,EMS,Unicycler,Salmonella_enterica,0.11135005943594468,0.9790682107826763,1.0000328318007534,1.0,1.0000328318007534,0.9998051972367619,0.994833255049319,20.0,50.0,223960.0,223960.0,4660116.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
95,run1,EMS,VelvetOptimiser,Salmonella_enterica,0.011955679987965744,0.8113947677039909,1.0022081634206648,1.0,1.0022081634206648,0.9999844566616535,0.9939024390243902,0.0,1058.0,5129.0,3737.0,3862033.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
96,run1,EMS,ABySS,Staphylococcus_aureus,0.3093667012409978,0.9888872950367444,1.0056688191144205,1.0,1.0056688191144205,0.9998498807995831,0.9987505006007209,15.0,28.0,268668.0,268668.0,2688567.0,71.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
98,run1,EMS,GATBMiniaPipeline,Staphylococcus_aureus,0.1529362434621411,0.9853886669756288,1.0009503350995033,1.0,1.0009503350995033,1.0,1.0,24.0,41.0,112739.0,108199.0,2679055.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
99,run1,EMS,IDBA-UD,Staphylococcus_aureus,0.06690243418003664,0.9789331979785051,1.0005237640071178,0.9992138816124471,1.0013109129274276,0.9938421315932511,0.5717791411042945,42.0,72.0,53248.0,51887.0,2661504.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
100,run1,EMS,MEGAHIT,Staphylococcus_aureus,0.15285054325837324,0.9861526125688728,0.9998802744512393,0.9998344059032058,1.0000458761448523,0.9986122408155269,0.9733218588640276,19.0,37.0,126941.0,126941.0,2681132.0,0.0,1.0,3.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
101,run1,EMS,MetaHipMer2,Staphylococcus_aureus,0.06690169855596996,0.9811882535549034,1.0006500139636794,1.0,1.0006500139636794,1.0,1.0,42.0,67.0,53246.0,51885.0,2667635.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
102,run1,EMS,metaSPAdes,Staphylococcus_aureus,0.17271092181051795,0.9867153649798807,0.9999742792793128,0.9999966450483523,0.9999776341559242,0.9996892331571601,0.9947121034077556,13.0,23.0,204472.0,204472.0,2682662.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
