locus_tag	ftype	length_bp	gene	EC_number	COG	product
Zymos_Pa_00039	CDS	1098	spuE_1		COG0687	Spermidine-binding periplasmic protein SpuE
Zymos_Pa_00040	CDS	1155	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
Zymos_Pa_00041	CDS	912	potH		COG1176	Putrescine transport system permease protein PotH
Zymos_Pa_00042	CDS	870	ydcV_1			Inner membrane ABC transporter permease protein YdcV
Zymos_Pa_00043	CDS	2388	quiP_1	3.5.1.97	COG2366	Acyl-homoserine lactone acylase QuiP
Zymos_Pa_00044	CDS	1053				hypothetical protein
Zymos_Pa_00045	CDS	504				hypothetical protein
Zymos_Pa_00046	CDS	612				hypothetical protein
Zymos_Pa_00047	CDS	942	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Zymos_Pa_00048	CDS	753				hypothetical protein
Zymos_Pa_00049	CDS	630				hypothetical protein
Zymos_Pa_00050	CDS	555				hypothetical protein
Zymos_Pa_00051	CDS	90				hypothetical protein
Zymos_Pa_00052	CDS	495				hypothetical protein
Zymos_Pa_00053	CDS	693	yecS_1		COG0765	L-cystine transport system permease protein YecS
Zymos_Pa_00054	CDS	771	fliY_1		COG0834	L-cystine-binding protein FliY
Zymos_Pa_00055	CDS	438				hypothetical protein
Zymos_Pa_00056	CDS	1230	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
Zymos_Pa_00057	CDS	1395		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
Zymos_Pa_00058	CDS	666	ycgM		COG0179	putative protein YcgM
Zymos_Pa_00059	CDS	933	yjiK_1		COG3204	putative protein YjiK
Zymos_Pa_00060	CDS	351	ygiW		COG3111	Protein YgiW
Zymos_Pa_00061	CDS	1035	aphB	3.5.1.-	COG0123	Acetylpolyamine amidohydrolase 2
Zymos_Pa_00062	CDS	1395	puuP_1		COG0531	Putrescine importer PuuP
Zymos_Pa_00063	CDS	1044	spuE_2		COG0687	Spermidine-binding periplasmic protein SpuE
Zymos_Pa_00064	CDS	789	ydcV_2			Inner membrane ABC transporter permease protein YdcV
Zymos_Pa_00065	CDS	930	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
Zymos_Pa_00066	CDS	1050	potA_2	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
Zymos_Pa_00067	CDS	930	yjiK_2		COG3204	putative protein YjiK
Zymos_Pa_00068	CDS	1977				hypothetical protein
Zymos_Pa_00069	CDS	726	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
Zymos_Pa_00070	CDS	333				hypothetical protein
Zymos_Pa_00071	CDS	672	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
Zymos_Pa_00072	CDS	1515	ilvA_1	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
Zymos_Pa_00073	CDS	468				hypothetical protein
Zymos_Pa_00074	CDS	1272				hypothetical protein
Zymos_Pa_00075	CDS	468				hypothetical protein
Zymos_Pa_00076	CDS	1242				hypothetical protein
Zymos_Pa_00077	CDS	654		3.1.3.-	COG0560	putative phosphatase
Zymos_Pa_00078	CDS	480	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
Zymos_Pa_00079	CDS	2280	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
Zymos_Pa_00080	CDS	1038				hypothetical protein
Zymos_Pa_00081	CDS	756				hypothetical protein
Zymos_Pa_00082	CDS	804				hypothetical protein
Zymos_Pa_00083	CDS	801	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
Zymos_Pa_00084	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
Zymos_Pa_00085	CDS	798				hypothetical protein
Zymos_Pa_00086	CDS	1380				hypothetical protein
Zymos_Pa_00087	CDS	1386				putative membrane protein
Zymos_Pa_00088	CDS	363				hypothetical protein
Zymos_Pa_00089	CDS	1152	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
Zymos_Pa_00090	CDS	1095				hypothetical protein
Zymos_Pa_00091	CDS	1041				hypothetical protein
Zymos_Pa_00092	CDS	507	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
Zymos_Pa_00093	CDS	474				hypothetical protein
Zymos_Pa_00094	CDS	1386	xanP_1		COG2233	Xanthine permease XanP
Zymos_Pa_00095	CDS	1839	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
Zymos_Pa_00096	CDS	1197	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
Zymos_Pa_00097	CDS	540	yraA	3.2.-.-	COG0693	Putative cysteine protease YraA
Zymos_Pa_00098	CDS	879				hypothetical protein
Zymos_Pa_00099	CDS	813	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
Zymos_Pa_00100	CDS	579				hypothetical protein
Zymos_Pa_00101	CDS	345				hypothetical protein
Zymos_Pa_00102	CDS	987				hypothetical protein
Zymos_Pa_00103	CDS	1734	ggt_1	3.4.19.13		Glutathione hydrolase proenzyme
Zymos_Pa_00104	CDS	252	fdx_1		COG1145	Ferredoxin
Zymos_Pa_00105	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
Zymos_Pa_00106	CDS	1596		1.1.-.-	COG2303	putative GMC-type oxidoreductase
Zymos_Pa_00107	CDS	549				hypothetical protein
Zymos_Pa_00108	CDS	1431	calB	1.2.1.68		Coniferyl aldehyde dehydrogenase
Zymos_Pa_00109	CDS	648				hypothetical protein
Zymos_Pa_00110	CDS	411				hypothetical protein
Zymos_Pa_00111	CDS	999				hypothetical protein
Zymos_Pa_00112	CDS	567				hypothetical protein
Zymos_Pa_00113	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
Zymos_Pa_00114	CDS	1488				hypothetical protein
Zymos_Pa_00115	CDS	1371		3.4.24.-	COG0612	putative zinc protease
Zymos_Pa_00116	CDS	1359	ftsY			Signal recognition particle receptor FtsY
Zymos_Pa_00117	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
Zymos_Pa_00118	CDS	1008	ftsX		COG2177	Cell division protein FtsX
Zymos_Pa_00119	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
Zymos_Pa_00120	CDS	606				hypothetical protein
Zymos_Pa_00121	CDS	732	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
Zymos_Pa_00122	CDS	378				hypothetical protein
Zymos_Pa_00123	CDS	201				hypothetical protein
Zymos_Pa_00124	CDS	798	thiG	2.8.1.10	COG2022	Thiazole synthase
Zymos_Pa_00125	CDS	735	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
Zymos_Pa_00126	CDS	1347				putative protein
Zymos_Pa_00127	CDS	258				hypothetical protein
Zymos_Pa_00128	CDS	324				hypothetical protein
Zymos_Pa_00129	CDS	1155	hemW		COG0635	Heme chaperone HemW
Zymos_Pa_00130	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
Zymos_Pa_00131	CDS	420				hypothetical protein
Zymos_Pa_00132	CDS	621	metXA		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
Zymos_Pa_00133	CDS	1140	metXS	2.3.1.46	COG2021	Homoserine O-succinyltransferase
Zymos_Pa_00134	CDS	1968				hypothetical protein
Zymos_Pa_00135	CDS	171				hypothetical protein
Zymos_Pa_00136	CDS	594				hypothetical protein
Zymos_Pa_00137	CDS	822	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
Zymos_Pa_00138	CDS	693	yggS		COG0325	Pyridoxal phosphate homeostasis protein
Zymos_Pa_00139	CDS	1035	pilT_1		COG2805	Twitching mobility protein
Zymos_Pa_00140	CDS	1149	pilT_2		COG2805	Twitching mobility protein
Zymos_Pa_00141	CDS	900	czcD_1			Metal cation efflux system protein CzcD
Zymos_Pa_00142	CDS	405				hypothetical protein
Zymos_Pa_00143	CDS	1374	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
Zymos_Pa_00144	CDS	1185	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
Zymos_Pa_00145	CDS	1272	pyrC'		COG0044	Dihydroorotase-like protein
Zymos_Pa_00146	CDS	1005	pyrB	2.1.3.2		Aspartate carbamoyltransferase
Zymos_Pa_00147	CDS	513	pyrR		COG2065	Bifunctional protein PyrR
Zymos_Pa_00148	CDS	435	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
Zymos_Pa_00149	CDS	570				hypothetical protein
Zymos_Pa_00150	CDS	894				hypothetical protein
Zymos_Pa_00151	CDS	954	gshB	6.3.2.3	COG0189	Glutathione synthetase
Zymos_Pa_00152	CDS	408	walR_1		COG0745	Transcriptional regulatory protein WalR
Zymos_Pa_00153	CDS	366	pleD_1			Response regulator PleD
Zymos_Pa_00154	CDS	537				hypothetical protein
Zymos_Pa_00155	CDS	2049				hypothetical protein
Zymos_Pa_00156	CDS	876	cheR2	2.1.1.80		Chemotaxis protein methyltransferase Cher2
Zymos_Pa_00157	CDS	7419	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
Zymos_Pa_00158	CDS	1032	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
Zymos_Pa_00159	CDS	507				hypothetical protein
Zymos_Pa_00160	CDS	795	rhaS_1			HTH-type transcriptional activator RhaS
Zymos_Pa_00161	CDS	612				hypothetical protein
Zymos_Pa_00162	CDS	1374				hypothetical protein
Zymos_Pa_00163	CDS	723	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
Zymos_Pa_00164	CDS	1404	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
Zymos_Pa_00165	CDS	1491		1.4.5.-		L-amino acid dehydrogenase
Zymos_Pa_00166	CDS	570	yceJ		COG3038	Cytochrome b561 
Zymos_Pa_00167	CDS	576	yceI		COG2353	Protein YceI
Zymos_Pa_00168	CDS	444	mexR		COG1846	Multidrug resistance operon repressor
Zymos_Pa_00169	CDS	1152	mexA_1			Multidrug resistance protein MexA
Zymos_Pa_00170	CDS	3141	mexB		COG0841	Multidrug resistance protein MexB
Zymos_Pa_00171	CDS	1458	oprM_1		COG1538	Outer membrane protein OprM
Zymos_Pa_00172	CDS	1920	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
Zymos_Pa_00173	CDS	1071				hypothetical protein
Zymos_Pa_00174	CDS	873	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
Zymos_Pa_00175	CDS	540				hypothetical protein
Zymos_Pa_00176	CDS	1410	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
Zymos_Pa_00177	CDS	417				hypothetical protein
Zymos_Pa_00178	CDS	2193	cntO_1			Metal-pseudopaline receptor CntO
Zymos_Pa_00179	CDS	1479				hypothetical protein
Zymos_Pa_00180	CDS	621	rutR_1		COG1309	HTH-type transcriptional regulator RutR
Zymos_Pa_00181	CDS	1272	codA	3.5.4.1	COG0402	Cytosine deaminase
Zymos_Pa_00182	CDS	1251	codB		COG1457	Cytosine permease
Zymos_Pa_00183	CDS	1275	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
Zymos_Pa_00184	CDS	1368	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
Zymos_Pa_00185	CDS	1440	dht	3.5.2.2	COG0044	D-hydantoinase/dihydropyrimidinase
Zymos_Pa_00186	CDS	1491	pucI_1		COG1953	putative allantoin permease
Zymos_Pa_00187	CDS	1284	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
Zymos_Pa_00188	CDS	1224	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
Zymos_Pa_00189	CDS	1182	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
Zymos_Pa_00190	CDS	909	gcvA_1			Glycine cleavage system transcriptional activator
Zymos_Pa_00191	CDS	405				hypothetical protein
Zymos_Pa_00192	CDS	1623	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
Zymos_Pa_00193	CDS	1332				hypothetical protein
Zymos_Pa_00194	CDS	792				hypothetical protein
Zymos_Pa_00195	CDS	732				hypothetical protein
Zymos_Pa_00196	CDS	2202	yccS		COG1289	Inner membrane protein YccS
Zymos_Pa_00197	CDS	1377	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
Zymos_Pa_00198	CDS	210	cspA_1		COG1278	Major cold shock protein CspA
Zymos_Pa_00199	CDS	525				hypothetical protein
Zymos_Pa_00200	CDS	375				hypothetical protein
Zymos_Pa_00201	CDS	1434	hsrA			putative transport protein HsrA
Zymos_Pa_00202	CDS	2799	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
Zymos_Pa_00203	CDS	579				hypothetical protein
Zymos_Pa_00204	CDS	888	yihG_1	2.3.-.-	COG0204	putative acyltransferase YihG
Zymos_Pa_00205	CDS	510				hypothetical protein
Zymos_Pa_00206	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
Zymos_Pa_00207	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
Zymos_Pa_00208	CDS	1359	creD		COG4452	Inner membrane protein CreD
Zymos_Pa_00209	CDS	303				hypothetical protein
Zymos_Pa_00210	CDS	186				hypothetical protein
Zymos_Pa_00211	CDS	621	yibF		COG0625	putative GST-like protein YibF
Zymos_Pa_00212	CDS	951	vgb	4.2.99.-		Virginiamycin B lyase
Zymos_Pa_00213	CDS	858				hypothetical protein
Zymos_Pa_00214	CDS	2394	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
Zymos_Pa_00215	CDS	972	fecR_1		COG3712	Protein FecR
Zymos_Pa_00216	CDS	519	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
Zymos_Pa_00217	CDS	750				hypothetical protein
Zymos_Pa_00218	CDS	402				hypothetical protein
Zymos_Pa_00219	CDS	570	yxaF_1			putative HTH-type transcriptional regulator YxaF
Zymos_Pa_00220	CDS	1728	pucI_2		COG1953	putative allantoin permease
Zymos_Pa_00221	CDS	927	pcpR_2			PCP degradation transcriptional activation protein
Zymos_Pa_00222	CDS	477				hypothetical protein
Zymos_Pa_00223	CDS	1026	yhaJ_1			HTH-type transcriptional regulator YhaJ
Zymos_Pa_00224	CDS	798	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
Zymos_Pa_00225	CDS	444				hypothetical protein
Zymos_Pa_00226	CDS	2178	glcB	2.3.3.9	COG2225	Malate synthase G
Zymos_Pa_00227	CDS	444				hypothetical protein
Zymos_Pa_00228	CDS	516				hypothetical protein
Zymos_Pa_00229	CDS	897	rarD_1		COG2962	Protein RarD
Zymos_Pa_00230	CDS	975	rdoA	2.7.11.1	COG2334	Serine/threonine protein kinase RdoA
Zymos_Pa_00231	CDS	759	modE		COG2005	DNA-binding transcriptional dual regulator ModE
Zymos_Pa_00232	CDS	321				hypothetical protein
Zymos_Pa_00233	CDS	726				hypothetical protein
Zymos_Pa_00234	CDS	294				hypothetical protein
Zymos_Pa_00235	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
Zymos_Pa_00236	CDS	759	pxpA	3.5.2.9		5-oxoprolinase subunit A
Zymos_Pa_00237	CDS	249	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
Zymos_Pa_00238	CDS	1377	accC_1	6.3.4.14	COG0439	Biotin carboxylase
Zymos_Pa_00239	CDS	879	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
Zymos_Pa_00240	CDS	978	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
Zymos_Pa_00241	CDS	999				hypothetical protein
Zymos_Pa_00242	CDS	669	yadV_1			putative fimbrial chaperone YadV
Zymos_Pa_00243	CDS	1059	bioB	2.8.1.6	COG0502	Biotin synthase
Zymos_Pa_00244	CDS	1206	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
Zymos_Pa_00245	CDS	723	bioH	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
Zymos_Pa_00246	CDS	825	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
Zymos_Pa_00247	CDS	687	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
Zymos_Pa_00248	CDS	231				hypothetical protein
Zymos_Pa_00249	CDS	1806	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
Zymos_Pa_00250	CDS	1797	dmdC_2	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
Zymos_Pa_00251	CDS	1779	dmdC_3	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
Zymos_Pa_00252	CDS	1482	nirS_1	1.7.2.1	COG2010	Nitrite reductase
Zymos_Pa_00253	CDS	840	cysG_1		COG0007	Siroheme synthase
Zymos_Pa_00254	CDS	1164	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
Zymos_Pa_00255	CDS	516				hypothetical protein
Zymos_Pa_00256	CDS	444				hypothetical protein
Zymos_Pa_00257	CDS	525				hypothetical protein
Zymos_Pa_00258	CDS	453				hypothetical protein
Zymos_Pa_00259	CDS	1179				hypothetical protein
Zymos_Pa_00260	CDS	360				hypothetical protein
Zymos_Pa_00261	CDS	315	nirM		COG4654	Cytochrome c-551
Zymos_Pa_00262	CDS	1707	nirS_2	1.7.2.1	COG2010	Nitrite reductase
Zymos_Pa_00263	CDS	783	nirQ		COG0714	Denitrification regulatory protein NirQ
Zymos_Pa_00264	CDS	573	qoxC	1.10.3.-		Quinol oxidase subunit 3
Zymos_Pa_00265	CDS	258				hypothetical protein
Zymos_Pa_00266	CDS	441	norC		COG2010	Nitric oxide reductase subunit C
Zymos_Pa_00267	CDS	1398	norB	1.7.2.5	COG3256	Nitric oxide reductase subunit B
Zymos_Pa_00268	CDS	1839				hypothetical protein
Zymos_Pa_00269	CDS	195				hypothetical protein
Zymos_Pa_00270	CDS	684	glxR_1		COG0664	CRP-like cAMP-activated global transcriptional regulator
Zymos_Pa_00271	CDS	879	cynR_1			HTH-type transcriptional regulator CynR
Zymos_Pa_00272	CDS	702	yiiM_1		COG2258	Protein YiiM
Zymos_Pa_00273	CDS	237				hypothetical protein
Zymos_Pa_00274	CDS	1182	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
Zymos_Pa_00275	CDS	717				hypothetical protein
Zymos_Pa_00276	CDS	264				hypothetical protein
Zymos_Pa_00277	CDS	1491	malT_1			HTH-type transcriptional regulator MalT
Zymos_Pa_00278	CDS	1290	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
Zymos_Pa_00279	CDS	555				hypothetical protein
Zymos_Pa_00280	CDS	1026				hypothetical protein
Zymos_Pa_00281	CDS	609	lemA_1		COG1704	Protein LemA
Zymos_Pa_00282	CDS	582	dsbB_1			Disulfide bond formation protein B
Zymos_Pa_00283	CDS	831				hypothetical protein
Zymos_Pa_00284	CDS	387				hypothetical protein
Zymos_Pa_00285	CDS	459				hypothetical protein
Zymos_Pa_00286	CDS	420	yqjC			Protein YqjC
Zymos_Pa_00287	CDS	969				hypothetical protein
Zymos_Pa_00288	CDS	744	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
Zymos_Pa_00289	CDS	1305		1.14.13.239		Carnitine monooxygenase reductase subunit
Zymos_Pa_00290	CDS	1191	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
Zymos_Pa_00291	CDS	1002	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
Zymos_Pa_00292	CDS	1998	tktA	2.2.1.1	COG0021	Transketolase 1
Zymos_Pa_00293	CDS	1065				hypothetical protein
Zymos_Pa_00294	CDS	798	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
Zymos_Pa_00295	CDS	1062	epd_1	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
Zymos_Pa_00296	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
Zymos_Pa_00297	CDS	201				hypothetical protein
Zymos_Pa_00298	CDS	342				hypothetical protein
Zymos_Pa_00299	CDS	1065	cbbA	4.1.2.13		Fructose-bisphosphate aldolase
Zymos_Pa_00300	CDS	483				hypothetical protein
Zymos_Pa_00301	CDS	426				hypothetical protein
Zymos_Pa_00302	CDS	771		2.1.1.-	COG0500	putative methyltransferase
Zymos_Pa_00303	CDS	1179			COG2081	putative protein
Zymos_Pa_00304	CDS	489	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
Zymos_Pa_00305	CDS	1155				hypothetical protein
Zymos_Pa_00306	CDS	675	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
Zymos_Pa_00307	CDS	354	yhaI		COG3152	Inner membrane protein YhaI
Zymos_Pa_00308	CDS	912	mtrA_1			HTH-type transcriptional regulator MtrA
Zymos_Pa_00309	CDS	339				hypothetical protein
Zymos_Pa_00310	CDS	516				hypothetical protein
Zymos_Pa_00311	CDS	159				hypothetical protein
Zymos_Pa_00312	CDS	459				hypothetical protein
Zymos_Pa_00313	CDS	471				hypothetical protein
Zymos_Pa_00314	CDS	348				hypothetical protein
Zymos_Pa_00315	CDS	615				hypothetical protein
Zymos_Pa_00316	CDS	2727	impA	3.4.24.-		Immunomodulating metalloprotease
Zymos_Pa_00317	CDS	336				hypothetical protein
Zymos_Pa_00318	CDS	1122				hypothetical protein
Zymos_Pa_00319	CDS	555				IS3 family transposase IS222
Zymos_Pa_00320	CDS	309				IS3 family transposase IS222
Zymos_Pa_00321	CDS	2166				hypothetical protein
Zymos_Pa_00322	CDS	1308				hypothetical protein
Zymos_Pa_00323	CDS	2985				hypothetical protein
Zymos_Pa_00324	tRNA	77				tRNA-Met(cat)
Zymos_Pa_00325	CDS	3729				hypothetical protein
Zymos_Pa_00326	CDS	1854	rpoD		COG0568	RNA polymerase sigma factor RpoD
Zymos_Pa_00327	CDS	1995	dnaG	2.7.7.-	COG0358	DNA primase
Zymos_Pa_00328	CDS	450	yqeY		COG1610	putative protein YqeY
Zymos_Pa_00329	CDS	216	rpsU		COG0828	30S ribosomal protein S21
Zymos_Pa_00330	CDS	1026	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
Zymos_Pa_00331	CDS	570	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
Zymos_Pa_00332	CDS	417	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
Zymos_Pa_00333	CDS	543				hypothetical protein
Zymos_Pa_00334	CDS	1233	cca		COG0617	Multifunctional CCA protein
Zymos_Pa_00335	CDS	507				hypothetical protein
Zymos_Pa_00336	CDS	1554				hypothetical protein
Zymos_Pa_00337	CDS	1272				hypothetical protein
Zymos_Pa_00338	CDS	1923				hypothetical protein
Zymos_Pa_00339	CDS	333	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
Zymos_Pa_00340	CDS	852	apaH_1	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
Zymos_Pa_00341	CDS	381	apaG		COG2967	Protein ApaG
Zymos_Pa_00342	CDS	807	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
Zymos_Pa_00343	CDS	987	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
Zymos_Pa_00344	CDS	1293	surA_1	5.2.1.8	COG0760	Chaperone SurA
Zymos_Pa_00345	CDS	2784	lptD		COG1452	LPS-assembly protein LptD
Zymos_Pa_00346	CDS	1017	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
Zymos_Pa_00347	CDS	675	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
Zymos_Pa_00348	CDS	759	djlA		COG1076	Co-chaperone protein DjlA
Zymos_Pa_00349	CDS	1062				hypothetical protein
Zymos_Pa_00350	CDS	2394	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
Zymos_Pa_00351	CDS	633	uvrY		COG2197	Response regulator UvrY
Zymos_Pa_00352	CDS	1035	potD_1		COG0687	Spermidine/putrescine-binding periplasmic protein
Zymos_Pa_00353	CDS	1110	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
